filename,question,result,feedback
ifm-geomar_rep1.pdf,What is the mission location?,**Java margin**,2
awi_doi~10.48433_cr_msm94.pdf,What is the mission location?,**I don't know.**,4
ifm-geomar_rep49.pdf,What is the mission location?,**mud volcanoes North Alex and Giza in the West Nile Delta area**,2
ifm-geomar_rep28.pdf,What is the mission location?,**Canary - Cape Verde Basin**,2
ifm-geomar_rep33.pdf,What is the mission location?,**seafloor**,2
ifm-geomar_rep42.pdf,What is the mission location?,"**Talcahuano, Chile to Valparaiso, Chile**",2
ifm-geomar_rep9.pdf,What is the mission location?,"**Kiel, Germany**",2
ifm-geomar_rep38.pdf,What is the mission location?,** Lucky Strike area**,2
ifm-geomar_rep3.pdf,What is the mission location?,** Belgica Mound Province west of the Galway Mound**,2
ifm-geomar_rep23.pdf,What is the mission location?,**5°S Inside Corner High**,2
ifm-geomar_rep26.pdf,What is the mission location?,"**Lisbon, Portugal**",2
ifm-geomar_rep19.pdf,What is the mission location?,"**1° 56.70’S, 22° 56.65’W**",2
ifm-geomar_rep48.pdf,What is the mission location?,"**eastern tropical North Atlantic Ocean and the upwelling off Mauritania, Northwest Africa**",2
ifm-geomar_rep12.pdf,What is the mission location?,**Ecuador subduction zone**,2
ifm-geomar_rep17.pdf,What is the mission location?,"**16°N, 60°W**",2
geomar_rep_ns_58_2021 tjm 2.pdf,What is the mission location?,"**Deep Origin and internal Structure, Dubrovnik (Croatia) – Catania (Italy)**",2
ifm-geomar_rep14.pdf,What is the mission location?,**Giza MV and North Alex MV**,2
ifm-geomar_rep22.pdf,What is the mission location?,**Mid-ocean ridge**,2
ifm-geomar_rep34.pdf,What is the mission location?,**Logatchev**,2
ifm-geomar_rep29.pdf,What is the mission location?,**mid-Atlantic ridge**,2
ifm-geomar_rep40.pdf,What is the mission location?,"**Mindelo, São Vincente, Republic of Cape Verde.**",2
ifm-geomar_rep44.pdf,What is the mission location?,"**La misión se llevó a cabo en la región de la Isla Santa Maria, específicamente en la latitud 36°52.871 ""S"" y longitud 73°46.486 ""W"".**",2
ifm-geomar_rep10.pdf,What is the mission location?,**East of Søster Island**,2
AL374 CR ifm-geomar_rep51-1.pdf,What is the mission location?,**North Sea**,2
ifm-geomar_rep30.pdf,What is the mission location?,**Marsili volcanic complex**,2
ifm-geomar_rep37.pdf,What is the mission location?,"**Japan to Townsville, Australia**",2
ifm-geomar_rep7.pdf,What is the mission location?,**Chile Triple Junction**,2
ifm-geomar_rep18.pdf,What is the mission location?,**Mauritanian coastal upwelling area**,2
ifm-geomar_rep8.pdf,What is the mission location?,The mission location for the cruise SO191 New-Vents was the Hikurangi Margin on the east coast of New Zealand.,2
geomar_rep_ns_57_2021.pdf,What is the mission location?,** Belgica Mound Province west of the Galway Mound**,3
ifm-geomar_rep31.pdf,What is the mission location?,"**volcano in the West Nile Delta Project area, specifically the North Alex mud volcano**",2
ifm-geomar_rep32.pdf,What is the mission location?,**Japan**,2
ifm-geomar_rep21.pdf,What is the mission location?,**Northeast of Panarea Island**,2
ifm-geomar_rep35.pdf,What is the mission location?,**Kamchatka**,2
geomar_rep_ns_42_2018.pdf,What is the mission location?,**the Danube Delta region**,2
ifm-geomar_rep15.pdf,What is the mission location?,**Giza MV and North Alex MV**,1
geomar_rep_ns_55_2020.pdf,What is the mission location?,"**38° 38.63’N and 15° 5.14’E in 50m water depth, east of Panarea**",2
ifm-geomar_rep16.pdf,What is the mission location?,**17°50.0'N 16°35.1'W**,2
ifm-geomar_rep41.pdf,What is the mission location?,**Quepos Slide**,2
ifm-geomar_rep11.pdf,What is the mission location?,**Leibniz-Institut für Meereswissenschaften**,2
ifm-geomar_rep36.pdf,What is the mission location?,**Fort-de-France**,2
ifm-geomar_rep47.pdf,What is the mission location?,"**Wellington, New Zealand**",2
ifm-geomar_rep24.pdf,What is the mission location?,**the Gulf of Cadiz**,2
ifm-geomar_rep20.pdf,What is the mission location?,"**Kiel, Germany**",2
ifm-geomar_rep46.pdf,What is the mission location?,**the Omakere Ridge area and the Rock Garden**,2
ifm-geomar_rep6.pdf,What is the mission location?,"**3° 23,49' N 95° 6,09' E**",2
ifm-geomar_rep45-red.pdf,What is the mission location?,**the Alboran Sea and the Gulf of Cadiz**,2
ifm-geomar_rep25.pdf,What is the mission location?,**eastern flank of the Investigator Ridge in the southern Pacific Ocean**,2
ifm-geomar_rep50-red.pdf,What is the mission location?,"**the Christmas Island Seamount Province was between approximately 10°S and 15°S, and approximately 95°E and 109°E**",2
ifm-geomar_rep4.pdf,What is the mission location?,**South China Sea**,2
ifm-geomar_rep39.pdf,What is the mission location?,"- **The mission location is near 35° 53.2’N 10° 1.0’W, which is associated with the autonomous glider deployment.**",1
ifm_geomar_rep5.pdf,What is the mission location?,"- **The mission location is near 35° 53.2’N  10° 1.0’W, in the experiment area mentioned in the context.**",1
ifm-geomar_rep13.pdf,What is the mission location?,**Apophysis**,1
ifm-geomar_rep43.pdf,What is the mission location?,*35° 53.2’N 10° 1.0’W (near location B/C in Figure 1)*,1
ifm-geomar_rep27.pdf,What is the mission location?,**North Alex mud volcano**,1
,,,107
